dataSourceId|identifier|industry|requiredLanguage|datePosted|firstSeen|lastSeen|minValue|maxValue|title|hiringOrganization|jobLocation|description|python|advanced computing|programming|computational systems|coding|cloud computing|databases|data management|data engineering|data mining|data formats|linked data|information extraction|stream processing|enterprise process|business intelligence|data anonymisation|semantics|schema|data licensing|data quality|data governance|data science|big data|open data|machine learning|social network analysis|inference|reasoning|process mining|Linear algebra|Calculus|Mathematics|Statistics|Probability|RStudio|Data analytics|Data analysis|data visualisation|infographics|interaction|data mapping|data stories|data journalism|d3js|tableau
stackoverflow|http://careers.stackoverflow.com/jobs/97659/data-associate-refining-and-chemicals-wood-mackenzie|Unknown|ns|2015-09-11T15:43:34|||1|2|Data Associate  Refining and Chemicals at Wood Mackenzie (London, UK)|Wood Mackenzie|London, UK||0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97660/technology-lead-big-data-hotelscom|Unknown|ns|2015-09-11T15:43:34|||1|4|Technology Lead - Big Data at Hotels.com (London, UK)|Hotels.com|London, UK||0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/92745/senior-php-developer-coolblue|Unknown|ns|2015-09-11T15:43:33|||1|1|Senior PHP Developer at Coolblue (Rotterdam, Netherlands)|Coolblue|Rotterdam, Netherlands||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/80975/software-engineer-hotel-data-management-trivago-gmbh|Unknown|ns|2015-09-11T10:43:34|||1|2|Software Engineer - Hotel Data Management at trivago GmbH (Düsseldorf, Deutschland)|trivago GmbH|Düsseldorf, Deutschland||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97556/c-sharp-net-developer-yieldplanet|Unknown|ns|2015-09-11T10:43:34|||1|1|C# .NET Developer at YieldPlanet (Warszawa, Poland)|YieldPlanet|Warszawa, Poland||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97629/full-stack-developer-public-sector-software-ltd|Unknown|ns|2015-09-11T09:43:35|||1|1|Full Stack Developer at Public Sector Software ltd (Royal Leamington Spa, UK)|Public Sector Software ltd|Royal Leamington Spa, UK||0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97605/research-scientist-text-to-speech-amazon|Unknown|ns|2015-09-10T21:43:34|||1|1|Research Scientist - Text-to-Speech at Amazon (Gdask, Polska)|Amazon|Gdańsk, Polska||1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/94251/automation-engineer-logentries|Unknown|ns|2015-09-10T14:43:35|||1|1|Automation Engineer at Logentries (Dublin, Ireland)|Logentries|Dublin, Ireland||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/94248/software-engineer-logentries|Unknown|ns|2015-09-10T14:43:34|||1|1|Software Engineer at Logentries (Dublin, Ireland)|Logentries|Dublin, Ireland||1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/96039/badly-dressed-front-end-developer-efinancialcareers|Unknown|ns|2015-09-10T13:43:35|||2|2|Badly Dressed Front End Developer at eFinancialCareers (London, UK)|eFinancialCareers|London, UK||0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97393/frontend-developer-for-startup-in-berlin-m-f-whitewall-gmbh|Unknown|ns|2015-09-10T12:43:35|||1|1|Frontend Developer for Startup in Berlin (m/f) at Whitewall GmbH (Berlin, Deutschland)|Whitewall GmbH|Berlin, Deutschland||0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97397/senior-front-end-developer-semantico-limited|Unknown|ns|2015-09-10T12:43:33|||2|2|Senior Front End Developer at Semantico Limited (Brighton, UK)|Semantico Limited|Brighton, UK||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97418/senior-net-developer-excelian|Unknown|ns|2015-09-09T14:43:35|||1|1|Senior .NET Developer at Excelian (London, UK)|Excelian|London, UK||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97427/senior-application-developer-contentive|Unknown|ns|2015-09-09T14:43:35|||2|2|Senior Application Developer at Contentive (London, UK)|Contentive|London, UK||2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97394/full-stack-web-engineer-for-leading-saas-product-freeagent|Unknown|ns|2015-09-09T10:43:35|||1|1|Full-stack web engineer for leading SaaS product at FreeAgent (Edinburgh, UK) (allows remote)|FreeAgent|Edinburgh, UK||0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97388/backend-developer-benchmarking-alliance-nordic|Unknown|ns|2015-09-09T09:43:35|||1|2|Backend developer at Benchmarking Alliance Nordic AB (Stockholm, Sweden)|Benchmarking Alliance Nordic AB|Stockholm, Sweden||0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97307/systems-engineer-amazon|Unknown|ns|2015-09-08T14:43:33|||1|1|Systems Engineer at Amazon (Dublin, Ireland)|Amazon|Dublin, Ireland||1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97261/database-administrator-embl-ebi|Unknown|ns|2015-09-08T11:43:35|||2|2|Database Administrator at EMBL-EBI (Hinxton, UK)|EMBL-EBI|Hinxton, UK||0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97264/database-administrator-embl-ebi|Unknown|ns|2015-09-08T11:43:35|||2|2|Database Administrator at EMBL-EBI (Hinxton, UK)|EMBL-EBI|Hinxton, UK||0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97249/analyst-programmer-support-the-british-museum|Unknown|ns|2015-09-08T09:43:35|||1|1|Analyst Programmer: Support at The British Museum (London, UK)|The British Museum|London, UK||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/81194/global-head-of-business-intelligence-m-f-westwing-home-living|Unknown|ns|2015-09-08T08:43:34|||1|1|Global Head of Business Intelligence (m/f) - Munich, Germany at Westwing Home & Living (München, Deutschland)|Westwing Home & Living|München, Deutschland||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97232/fashion-plusbig-data-startup-looking-for-front-full-stylesage-fashion-meets-big|Unknown|ns|2015-09-07T17:43:34|||1|1|Fashion+Big Data Startup looking for Front/Full-Stack Developer, Madrid at StyleSage - Fashion meets Big Data (Madrid, Spain)|StyleSage - Fashion meets Big Data|Madrid, Spain||1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97225/senior-software-engineer-data-scientist-here-a-nokia-company|Unknown|ns|2015-09-07T15:43:34|||1|1|Senior Software Engineer/Data Scientist at HERE, a Nokia company (Berlin, Germany)|HERE, a Nokia company|Berlin, Germany||0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97215/experienced-javascript-developer-qlik|Unknown|ns|2015-09-07T13:43:35|||1|1|Experienced Javascript Developer at Qlik (Lund, Sweden)|Qlik|Lund, Sweden||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97210/senior-software-development-engineer-aws-amazon|Unknown|ns|2015-09-07T11:43:33|||1|1|Senior Software Development Engineer, AWS Networking at Amazon (Dublin, Ireland)|Amazon|Dublin, Ireland||0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/73911/graduate-developer-reboot-the-classroom-sparx|Unknown|ns|2015-09-07T10:43:35|||1|1|Graduate Developer - Reboot the classroom at Sparx (Exeter, UK)|Sparx|Exeter, UK||0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97198/cloud-architect-m-f-cloudreach-gmbh|Unknown|ns|2015-09-07T09:43:35|||1|1|Cloud Architect m/f at Cloudreach GmbH (München, Germany)|Cloudreach GmbH|München, Germany||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97196/software-development-engineer-amazon|Unknown|ns|2015-09-07T08:43:35|||1|1|Software Development Engineer at Amazon (Dublin, Ireland)|Amazon|Dublin, Ireland||1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97192/java-developer-department-for-work-pensions|Unknown|ns|2015-09-07T08:43:34|||1|1|Java Developer at Department for Work & Pensions (Newcastle upon Tyne, UK)|Department for Work & Pensions|Newcastle upon Tyne, UK||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97193/java-developer-department-for-work-pensions|Unknown|ns|2015-09-07T08:43:34|||1|1|Java Developer at Department for Work & Pensions (Blackpool, UK)|Department for Work & Pensions|Blackpool, UK||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97194/java-developer-department-for-work-pensions|Unknown|ns|2015-09-07T08:43:34|||1|1|Java Developer at Department for Work & Pensions (Sheffield, UK)|Department for Work & Pensions|Sheffield, UK||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97186/lead-technologist-technologist-department-for-work-and|Unknown|ns|2015-09-07T07:43:35|||1|1|Lead Technologist/ Technologist at Department for Work and Pensions (Newcastle upon Tyne, UK)|Department for Work and Pensions|Newcastle upon Tyne, UK||0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/92910/java-developer-department-for-work-pensions|Unknown|ns|2015-09-07T07:43:34|||1|1|Java Developer at Department for Work & Pensions (Leeds, UK)|Department for Work & Pensions|Leeds, UK||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97191/java-developer-department-for-work-pensions|Unknown|ns|2015-09-07T07:43:34|||1|1|Java Developer at Department for Work & Pensions (London, UK)|Department for Work & Pensions|London, UK||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/92528/python-engineer-mirantis-inc|Unknown|ns|2015-09-06T20:43:35|||1|1|Python Engineer at Mirantis, Inc. (Pozna, Polska)|Mirantis, Inc.|Poznań, Polska||1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/92502/software-engineer-python-really-strong-team-growbots|Unknown|ns|2015-09-06T16:43:35|||1|2|Software Engineer, Python - really strong team, big scale (30+ servers) at Growbots (Warsaw, Poland)|Growbots|Warsaw, Poland||0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/94809/senior-php-symfony2-developer-m-w-exozet-berlin-gmbh|Unknown|ns|2015-09-05T15:43:35|||1|1|(Senior) PHP / Symfony2 Developer (m/w) at Exozet Berlin GmbH (Berlin, Deutschland)|Exozet Berlin GmbH|Berlin, Deutschland||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97108/systems-engineer-aws-network-monitoring-amazon|Unknown|ns|2015-09-04T16:43:33|||1|1|Systems Engineer, AWS Network Monitoring at Amazon (Dublin, Ireland)|Amazon|Dublin, Ireland||1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97090/software-architect-803-cambridge-consultants|Unknown|ns|2015-09-04T15:43:34|||1|2|Software Architect - 803 at Cambridge Consultants (Cambridge, UK)|Cambridge Consultants|Cambridge, UK||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/67031/software-engineer-c-sharp-net-wheelright-ltd|Unknown|ns|2015-09-04T15:43:33|||1|1|Software Engineer C#/.Net at WheelRight Ltd (Oxford, UK)|WheelRight Ltd|Oxford, UK||0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/80174/senior-software-engineer-crytek-gmbh|Unknown|ns|2015-09-04T15:43:33|||1|1|Senior Software Engineer at Crytek GmbH (Frankfurt, Germany)|Crytek GmbH|Frankfurt, Germany||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97084/software-development-engineer-amazon|Unknown|ns|2015-09-04T14:43:33|||1|2|Software Development Engineer at Amazon (Dublin, Ireland)|Amazon|Dublin, Ireland||0|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97065/senior-php-backend-developer-to-work-with-real-visca-web|Unknown|ns|2015-09-04T13:43:35|||1|1|Senior PHP Backend Developer to work with Real-Time Sports Data at Visca Web (Barcelona, Spain)|Visca Web|Barcelona, Spain||0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/94669/projektleiter-in-internet-of-things-für-big-data-festool|Unknown|ns|2015-09-04T13:43:34|||2|2|Projektleiter/in Internet of Things für Big Data Analytics at Festool (Wendlingen, Deutschland)|Festool|Wendlingen, Deutschland||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97060/web-application-software-engineer-trustyou-gmbh|Unknown|ns|2015-09-04T09:43:35|||2|2|Web Application / Software Engineer at TrustYou GmbH (München, Deutschland)|TrustYou GmbH|München, Deutschland||2|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/91490/data-scientist-the-walking-dead-next-games|Unknown|ns|2015-09-04T09:43:34|||1|1|Data Scientist (The Walking Dead) at Next Games (Helsinki, Finland)|Next Games|Helsinki, Finland||0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97058/tech-lead-data-science-team-m-f-trustyou-gmbh|Unknown|ns|2015-09-04T09:43:34|||2|4|Tech Lead - Data Science Team (m/f) at TrustYou GmbH (München, Deutschland)|TrustYou GmbH|München, Deutschland||2|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97043/big-data-engineer-real-time-video-sharing-grabyo|Unknown|ns|2015-09-03T23:43:34|||1|2|Big Data Engineer: real-time video sharing at Grabyo (London, UK)|Grabyo|London, UK||0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97003/online-forecasting-optimisation-analyst-sainsburys|Unknown|ns|2015-09-03T16:43:35|||1|1|Online Forecasting & Optimisation Analyst at Sainsbury's (London, UK)|Sainsbury's|London, UK||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/91496/algorithmic-software-engineer-junior-senior-zalando-se|Unknown|ns|2015-09-03T16:43:34|||1|2|Algorithmic Software Engineer (junior/senior) (Berlin, Dublin) at Zalando SE (Berlin, Germany)|Zalando SE|Berlin, Germany||1|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|2|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/91680/data-warehouse-engineer-junior-senior-zalando-se|Unknown|ns|2015-09-03T16:43:34|||1|2|Data Warehouse Engineer (junior/senior) at Zalando SE (Berlin, Germany)|Zalando SE|Berlin, Germany||1|0|1|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stackoverflow|http://careers.stackoverflow.com/jobs/97004/business-intelligence-analyst-sainsburys|Unknown|ns|2015-09-03T16:43:34|||1|1|Business Intelligence Analyst at Sainsbury's (London, UK)|Sainsbury's|London, UK||1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
